paragraph_start_line,kind,sentence
1226,narrative,"The safety contract: none of these systems expose a calibrated admission boundary---an instrumented notion of when a requested edit should be shrunk or refused--- because avatar editing does not need one, while a consultation preview does."
1226,narrative,"NPHM, ImHead and ShapeFusion are therefore specified as the next tier of external baselines under the bridging protocols of , while LAMM already serves as the measured accuracy frontier inside the benchmark."
1247,narrative,A final research line must be acknowledged because it bounds what the certified admission stage of can claim as new.
1247,implementation_claim,Inversion-aware mesh deformation is an established topic in geometry processing: locally injective mappings (LIM) optimise deformation energies subject to a barrier that guarantees no element inverts ; scalable variants construct provably inversion-free simplicial maps ; and scalable locally injective mappings (SLIM) extend these guarantees to large meshes with robust reweighting .
1247,narrative,"On the learned side, Neural Jacobian Fields predict per-element Jacobians and recover the map by a differentiable Poisson solve, so that a geometric solver post-processes a learned field ."
1247,narrative,"These works establish that inversion-aware optimisation, dedicated geometric solvers layered after learning, and learned deformation fields are each individually well known."
1261,narrative,The specific construction of this dissertation is therefore deliberately narrow: RB-SR does not optimise a globally or locally injective map and does not guarantee an inversion-free surface.
1261,implementation_claim,Its certificate is anchor-relative---the admitted residual is attenuated until its folded faces are a subset of the ridge anchor's---which is a weaker statement chosen because it preserves a feasible real-time endpoint (the anchor itself) by construction.
1261,implementation_claim,"What is specific to this work is the composition: a source-conditioned statistical anchor, a spatially gated learned residual, a hard anchor-relative fold certificate, and the binding of that exact composition into an auditable browser deployment. returns to the precise hierarchy of geometric statements this entitles."
1276,quantitative,Existing 3D aesthetic preview tools already establish the applied space.
1276,narrative,"The relevant related-work question is which deformation mechanisms are visible in the public record, and which parts of the sparse-control deformation problem remain untested."
1276,narrative,Existing systems can be classified both by deployment category and by deformation mechanism.
1282,quantitative,"Mechanistically, 2D photo morphing is accessible and visually persuasive but lacks a registered 3D surface and cannot expose local mesh regularity."
1282,quantitative,Manual 3D sculpting and slider-based morphing can support consultation but often depend on operator skill or proprietary deformation rules.
1282,narrative,Template/anatomical generators and image-level generative models can produce appealing outcomes but are hard to audit as geometry.
1282,narrative,"Finite-element or biomechanical simulation is the physically richer route, but it requires anatomical layers, material assumptions and patient-specific calibration far beyond the registered surface dataset used here."
1282,quantitative,"Laplacian, ARAP and FFD/RBF-style control-point deformation offer transparent sparse-control geometry, but they are data-agnostic. 3DMM/PCA statistical models are transparent and data-aware, but their linear residual boundary must be measured."
1282,quantitative,"Rhinoform deliberately sits between these categories: more geometric than 2D morphing, more transparent than black-box simulators, lighter than FEM, more controllable than image-level generation, more data-aware than pure Laplacian/ARAP editing, and safer than an unconditional neural generator."
1299,quantitative,"Commercial capture and planning platforms, including Canfield VECTRA, MirrorMe3D, 3dMDvultus and LifeViz, establish 3D consultation, measurement and monitoring as mature workflows ."
1299,narrative,"Consumer and SDK-facing preview tools, including Crisalix, Banuba, FaceTouchUp, AEDIT and Arbrea, demonstrate demand for interactive visual reshaping and accessible before/after communication ."
1299,narrative,"Their internal deformation algorithms are generally proprietary, so they are treated here as motivating systems rather than as reproducible baselines."
1308,narrative,Academic and open-source systems provide a clearer view of mechanism.
1308,quantitative,"Digitizing Rhinoplasty uses a web workflow for 3D preoperative evaluation with extensive landmark marking and automatic facial measurement, evaluated with surgeon feedback ."
1308,quantitative,RhinOnBlender offers a free 3D rhinoplasty planning add-on in open-source software .
1308,narrative,"The baselines used later also have a direct clinical precedent: an established rhinoplasty planning and simulation system is built on volumetric Laplacian differential-surface deformation, driven by sparse sketch contours and clinically validated against post-operative CT ."
1308,narrative,This is direct evidence that Laplacian-family handle deformation is a documented operating mechanism for nasal-surface editing rather than an arbitrary comparator.
1308,narrative,"It also marks the boundary this project respects: that system models calibrated volumetric soft tissue from patient CT, whereas the present work deliberately stays at uncalibrated surface morphology on a shared FaceScape topology."
1308,narrative,"The two are therefore not evaluated on a common benchmark; the contribution here is to test the same Laplacian mechanism under a controlled identity-level protocol, not to reproduce a clinical CT simulation."
1326,narrative,"Other structured-light and rule-based simulation systems combine keypoints, aesthetic indices and mesh-morphing operators with quantitative evaluation or standardised manoeuvres ."
1326,implementation_claim,Landmark-driven generative pipelines such as LandmarkDiff shift the mechanism toward image generation from dense landmarks .
1326,narrative,"These examples motivate the baseline families used later: geometric propagation for transparent handle editing, statistical sparse-to-dense regression for data-aware mesh response, and learned residuals for nonlinear correction."
1326,narrative,"They also clarify the project boundary: if a system outputs an image-level prediction rather than a registered mesh deformation, it may be visually persuasive but cannot be audited directly through per-vertex ROI error, normal flips or edge strain."
1338,narrative,A recent systematic review of simulation and AI in rhinoplasty identifies a recurring methodological weakness: the absence of an automated evaluation method and a heavy reliance on subjective surgeon feedback .
1338,narrative,This is the gap a controlled sparse-to-dense benchmark addresses.
1338,narrative,"Existing tools overwhelmingly emphasise visualisation, measurement, planning or photorealistic prediction; the missing element is a controlled, identity-level benchmark that asks which deformation family is trustworthy for sparse-control editing, together with an interface that surfaces the resulting credibility limits to the user."
1348,narrative,"For that reason, the evidence used for external-tool positioning must be tiered honestly."
1348,narrative,"This project has no local, instrumented access to any competitor product, so nothing in is a head-to-head measurement."
1348,narrative,The comparison is deliberately qualitative positioning drawn from vendor materials and peer-reviewed reviews.
1348,narrative,"Three evidence tiers are kept distinct: measured in this work means the sparse-to-dense accuracy, regularity, sub-unit and robustness numbers computed under one FaceScape protocol in ; supported by public materials means that commercial tools exist, are adopted in consultation and emphasise visualisation, capture accuracy or physical guides; and qualitative positioning only means that any statement that this project's deformation model is more auditable than a competitor's is a claim about published emphasis, not a benchmark result, because competitors' deformation internals are proprietary and were never run here."
1368,narrative,"vendor/review material; no competitor was run locally, so no row is a measured comparison against this project's numbers."
1373,narrative,Tool (evidence: public) Publicly stated emphasis What remains untested vs.\ this work \\
1375,quantitative,"Crisalix Photo-to-3D reconstruction, scenario morphing, VR/AR consultation, conversion uplift No public reproducible sparse-to-dense deformation benchmark or geometric-risk gate \\ Canfield VECTRA XT Calibrated multi-camera capture; Sculptor volume editing; sub-0.5\,mm capture agreement Capture accuracy is not deformation-model accuracy on held-out identities \\ MirrorMe3D 3D-printed nasal models / surgical guides for theatre Physical planning artefact, not an interactive risk-aware preview \\ Generic 3D editors (Blender/ARAP) Free-form smooth handle deformation Data-agnostic; no identity-conditioned response or admission boundary \\"
1382,narrative,The positioning is therefore empirical where it can be and conservative where it must be.
1382,narrative,"Laplacian and ARAP in this dissertation are representative geometric families, not claims about the hidden implementation of any commercial product."
1382,comparative_claim,"The contribution is to make the deformation model, risk metrics, refusal boundary and evaluation protocol explicit and reproducible in a space whose public evidence is dominated by visualisation and capture."
1392,narrative,"Read together, the surveyed strands each supply one ingredient the platform needs and each leave one requirement unmet."
1392,narrative,It is the combination of the unmet requirements that defines the contribution.
1392,quantitative,"The statistical face models of ---3DMM, its PCA shape space and FLAME---contribute a registered, data-aware coordinate system but edit globally, so they do not deliver the local, handle-driven control that the consultation setting demands."
1392,narrative,"The geometry-based operators of ---Laplacian, Bi-Laplacian and ARAP---contribute transparent sparse-handle control, but their data-agnostic priors are accurate only up to a generic smoothness assumption."
1392,narrative,"The learning-based models of contribute a population-aware prior that can capture nonlinear population-level nasal morphology response, but a direct conditional generator can drift off-manifold at the edit boundary where the tool is most used."
1392,comparative_claim,"The localized neural morphable models of ---LAMM, ShapeFusion, NPHM and ImHead---contribute region-controllable neural shape spaces and confirm that localized editing is where the field is moving; LAMM, evaluated inside the benchmark, indeed sets the measured accuracy frontier, but the family is built for generative avatar editing and carries no calibrated admission or refusal boundary, and its measured accuracy is bought with markedly higher fold and strain incidence ()."
1392,comparative_claim,"Finally, the consultation and commercial systems of confirm strong demand for interactive 3D preview yet, as the systematic reviews note, are dominated by visualisation and capture rather than a reproducible, risk-instrumented deformation benchmark."
1417,comparative_claim,"The resulting gap is precise: to the best of our knowledge, no publicly reported prior tool couples a controlled FaceScape nasal sparse-control deformation benchmark to a limitation-aware interactive prototype with live geometric and distributional risk gates."
1417,narrative,"This dissertation addresses that gap through a benchmark-calibrated prototype that exposes control-applicability, edge-strain and normal-flip instruments."
1417,narrative,The control-applicability policy can scale back or withhold edits outside the evaluated control envelope; the geometric instruments remain read-outs.
1426,narrative,collects the final reading.
1426,narrative,"The through-line is the taxonomy of : Rhinoform is deliberately placed on the hybrid branch, anchoring a gated learned residual to a source-conditioned statistical backbone, precisely because no single surveyed family satisfies the three requirements---registered locality, interpretable sparse control, and live geometric safety---at once."
1426,narrative,"This is the gap the remaining chapters operationalise: the prototype () turns these requirements into an interface and a safety state machine, the method () realises the hybrid branch as the RB-SR framework, and the evaluation () tests whether the hybrid actually beats each surveyed family on the same controlled protocol."
1443,narrative,"requirements distilled in : registered locality, interpretable sparse control, and live geometric safety."
1443,narrative,Rhinoform's hybrid branch is the only row that targets all three.
1449,narrative,Surveyed family Ingredient it supplies Requirement it leaves unmet \\
1451,comparative_claim,"Statistical face models (3DMM, PCA, FLAME) Registered, data-aware shape space Edits are global, not local handle-driven control \\ Geometry-based editing (Laplacian, Bi-Laplacian, ARAP) Transparent sparse-handle deformation Data-agnostic; generic smoothness population-level dense nasal response \\ Learning-based models (VAE, CVAE, mesh AE) Population-aware nonlinear prior Direct generation drifts off-manifold at the edit boundary \\ Localized neural 3DMM editing (LAMM, ShapeFusion, NPHM, ImHead) Region-controllable neural shape spaces; LAMM sets the measured accuracy frontier in this benchmark Accuracy bought with higher fold/strain incidence; implicit variants break index correspondence; no geometric risk gating \\ Consultation \ commercial tools Evidence of real demand for 3D preview No reproducible, risk-instrumented deformation benchmark \\ Rhinoform (hybrid, RB-SR) Gated residual on a source-conditioned anchor --- (targets all three requirements jointly) \\"
1466,narrative,The prototype is designed from the consultation setting outward.
1466,narrative,"A patient and a surgeon need a nasal preview that is credible, interpretable and explicit about its risk boundary."
1466,narrative,"The design goals below therefore map each interface decision to benchmark evidence, rather than presenting the prototype as a generic list of features."
1472,narrative,The default state of the tool is the Ridge anchor.
1472,narrative,This choice serves the first requirement of consultation use: the interface should respond immediately and retain a deterministic preview while the learned refinement is computed.
1472,narrative,The evaluation justifies this anchor-first contract in ; the prototype makes the active layer and every transition away from it explicit.
1472,implementation_claim,"The learned residual is therefore a proposal, not an unconditional output: it replaces the anchor only after exact handles have been re-imposed and the Ridge-relative fold certificate has completed."
1481,implementation_claim,The interface separates two kinds of runtime evidence.
1481,quantitative,"Control applicability is computed from the requested 27-dimensional edit and can retain, scale back or withhold the request."
1481,quantitative+implementation,"Geometric read-outs such as anchor normal flips and edge-strain p_95 describe the displayed mesh, while certificate status, residual retention and projection rounds describe the learned refinement."
1481,narrative,These quantities are not merged into a confidence score or clinical-safety claim.
1488,narrative,The prototype keeps the full-head mesh as the viewing context while organising control and feedback in nasal sub-unit language.
1488,narrative,"Patient complaints often localise to the dorsum, tip and alae, but those local changes need to be viewed in the context of the whole face to remain meaningful ()."
1488,narrative,"The interface also states the system boundary explicitly: the current mesh uses uncalibrated FaceScape units and a single expression, so the prototype is intended for morphology communication rather than surgical-outcome prediction (). collects these design goals as a requirement-to-evidence index; the table is a navigation aid, while the rationale is given in the surrounding text."
1504,narrative,traced to the benchmark evidence or section rationale that supports it.
1508,narrative,Requirement Evidence and rationale in this dissertation \\
1510,narrative,Conservative real-time default The evaluation selects the ridge anchor as the stable real-time default and fallback ().
1510,implementation_claim,\\ Residual exposed only after certification The learned correction replaces the anchor only after exact handles and the Ridge-relative fold certificate ().
1510,implementation_claim,"\\ Runtime diagnostics Applicability, anchor flips/strain, certificate status, residual retention and projection rounds remain separately identifiable ()."
1510,narrative,"\\ Visible applicability policy Requested controls are retained, scaled to the evaluated boundary or withheld according to the released thresholds ()."
1510,narrative,\\ Full-face context + sub-unit framing Complaints localise to dorsum/tip/alae; sub-unit metrics must be legible in context ().
1510,narrative,"\\ Explicit non-clinical scope Uncalibrated FaceScape units, single expression: outcome prediction is out of scope ()."
1522,narrative,The interface follows the order in which questions naturally arise during a consultation.
1522,narrative,"A patient and surgeon usually begin with a local shape intention, then inspect what changed, and finally decide whether the edit remains inside a credible boundary."
1522,implementation_claim,"The controls, views and runtime-state feedback are organised around that sequence."
1528,narrative,The first question is usually how the tip changes.
1528,narrative,"The tip-rotation and tip-projection sliders write a coupled rotation direction and an anterior--posterior displacement, respectively, to the registered tip handle."
1528,narrative,"The semantic-to-landmark mapping is defined in , and the corresponding sub-unit accuracy is reported in ."
1528,narrative,"Questions about the bridge and nasal width use the same mechanism with coupled motion: the dorsum-height, bridge-smoothing and alar-width controls write correlated displacements to the dorsum, radix and alar handles, which are then expanded into a dense ROI field by and evaluated as spatial error fields in ."
1540,narrative,"After an edit is made, the interface shows where the mesh actually changed."
1540,implementation_claim,"The before/after, delta and risk views display the full-head result, displacement magnitude and the selected geometric diagnostic, respectively; shows the corresponding benchmark-side per-vertex maps."
1540,implementation_claim,The browser first evaluates control applicability.
1540,implementation_claim,It then renders the effective Ridge anchor immediately and computes the learned proposal and certificate in the background.
1540,narrative,Normal flips and edge strain remain read-outs rather than inputs to the applicability decision.
1549,narrative,The interface offers six semantic controls to keep every edit inside the expressive range of the fixed nine-landmark protocol.
1549,narrative,These sliders correspond to validated semantic directions and prevent the user from drifting into an unconstrained free-form sculpting layer.
1549,narrative,"The landmark protocol is given in , and the full slider-to-landmark mapping is given in ."
1558,narrative,shows the two interface modes of the interactive studio.
1558,implementation_claim,"Consultation mode keeps the interpretation and session actions prominent; research mode exposes the active layer, applicability statistic and detailed certificate read-outs."
1558,narrative,"In either mode, the user applies six semantic controls and switches the central stage between after, before, delta and risk views."
1558,narrative,The preview is shown on the full head while the editable support remains the nasal ROI and its collar blend.
1558,implementation_claim,A registered OBJ or PLY source can also be bound to the same released pipeline.
1558,implementation_claim,The right-hand panel reports the current state and either a plain-language interpretation or detailed applicability and certificate data.
1570,quantitative,figures/chapter3_review_v2/fig_3_1_studio_modes_final.pdf
1573,implementation_claim,"semantic controls, the full-head preview, a plain-language certificate state and session actions. (b) Research mode exposes the active layer, control applicability , anchor flips and edge strain, certificate status, residual retention, projection rounds and fold counts."
1573,implementation_claim,"Both views show the same released browser pipeline; the additional research panel changes the level of disclosure, not the deformation method."
1582,narrative,gives the communication sequence for one edit.
1582,quantitative+implementation,"The browser converts the six slider values to the 27-dimensional control vector, applies the independent control-applicability policy, renders the source-conditioned Ridge anchor, and then starts the learned proposal and non-learned certificate asynchronously."
1582,narrative,A certified callback can replace the anchor; failure or timeout leaves it unchanged.
1582,implementation_claim,"Session export records the requested and effective controls, runtime state, available certificate data and the locked model identities."
1592,quantitative,figures/chapter3_review_v2/fig_3_2_software_communication_sequence_final.pdf
1595,narrative,open arrowheads denote asynchronous request or completion; dashed messages are returns.
1595,narrative,The Ridge anchor is rendered before the learned proposal completes.
1595,implementation_claim,The proposal re-imposes the exact handles and is passed to the independent Ridge-relative fold certificate; only a successful certified result is committed.
1595,narrative,Control applicability and residual certification remain separate guards.
1607,implementation_claim,"Rhinoform is released as a hash-identified bundle consumed by a React\,+\,Three.js browser client ()."
1607,implementation_claim,"The manifest identifies the base model, gate and projection policy and lists the hashes of the browser Ridge operator, certified pipeline, certified presets, population-mean head and optional source-binding support."
1607,implementation_claim,"After loading and identity checks, control mapping, source binding, inference, rendering and session assembly occur in the browser."
1607,narrative,"A local research service can be detected during development, but it is not required by the public inference path."
1617,quantitative,figures/chapter3_review_v2/fig_3_3_software_architecture_final.pdf
1620,implementation_claim,release bundle is identity-checked as it enters the public browser boundary.
1620,implementation_claim,"The current source and effective controls are bound locally, then evaluated by an immediate applicability-and-Ridge path and an asynchronous learned-refinement and fold-certificate path."
1620,narrative,The active layer drives both the consultation views and the exported session record.
1630,narrative,The architecture figure assigns ownership; the sequence in supplies execution order.
1630,implementation_claim,Keeping those views separate shows both that inference remains browser-local and that the learned path cannot delay or bypass the anchor preview.
1638,narrative,The studio does not introduce a second deformation problem.
1638,narrative,"Its visible controls---tip rotation, tip projection, dorsum height, alar width, bridge smoothing and tip width---are a human-facing wrapper around the same nine-landmark sparse-control protocol defined in ."
1638,implementation_claim,"At runtime the browser first assigns anatomical roles to the nine registered landmark vertices using their position in the registered ROI: the most anterior landmark is the tip, the most superior landmark is the radix, the two most lateral landmarks are the alae, and the remaining central landmarks form the dorsum group."
1638,quantitative,"Each semantic slider then writes signed displacements into selected entries of the 27-dimensional control vector c=[ x_1, y_1, z_1, , x_9, y_9, z_9]."
1650,narrative,The sidebar is deliberately limited to these six controls.
1650,narrative,"They span nasal changes that can be expressed cleanly by the available nine handles---tip rotation about the alar-base pivot, tip anterior--posterior projection, central dorsum height, bilateral alar width, source-adaptive dorsal-profile smoothing and tip-lobule width---without pretending that the prototype can model every surgical manoeuvre."
1650,implementation_claim,Adding more sliders would create a false sense of precision unless each new control could be mapped to a stable subset of the same nine landmarks and governed by the same applicability and certificate contracts.
1650,narrative,"The six-control design is therefore a constraint, not a missing feature: it keeps the interface aligned with the benchmarked sparse-control problem and avoids unvalidated free-form vertex sculpting."
1667,narrative,nine-landmark sparse-control task.
1671,quantitative,Visible control Landmark entries affected Meaning in the 27-D control vector \\
1673,narrative,Tip rotation Tip landmark Moves the tip along the released rotation direction about the alar-base pivot.
1673,narrative,\\ Tip projection Tip landmark Adds anterior--posterior displacement to the tip handle.
1673,comparative_claim,\\ Dorsum height Dorsum group + radix Raises or lowers the two dorsum handles with a smaller coupled radix component.
1673,narrative,\\ Alar width Left and right alar-base landmarks Moves the alar-base handles laterally in opposite directions.
1673,narrative,\\ Bridge smoothing Dorsum group Uses the bound source's deviation from the radix--tip line to flatten a hump or scoop.
1673,narrative,\\ Tip width Left and right tip-lobule landmarks Moves the paired sidewall handles laterally in opposite directions.
1683,narrative,This mapping is intentionally low-dimensional.
1683,narrative,"It gives the user clinically legible controls, but the mathematical input remains the same sparse vector used throughout the benchmark."
1683,narrative,"The sparse-to-dense expansion is then performed by the exported ridge operator, not by hand-painted regional deformation:"
1688,quantitative,c_ semantic \; slider-to-landmark map\; c R^27 \; \;W_ ctrl\;\; d_ ROI R^3934 3.
1695,narrative,The output is therefore dense because the learned statistical operator has estimated how the whole ROI tends to move when the nine handles move; the sliders only choose a structured direction in the original sparse control space.
1695,narrative,"In short, the semantic sliders are an affine user-interface layer over the nine-handle protocol: region labels make the interaction intelligible, but every edit is still encoded as before the exported ridge operator expands it into a dense ROI deformation, and the qualitative behaviour of that pathway is evidenced by the deterministically selected cases of rather than by ad-hoc screenshots."
1709,narrative,"The engine is the exported anchor, not a re-implementation."
1709,quantitative,"For a fixed source the source-PCA identity code is constant, so the operator's data half is absorbed into a bias and the only visible response to a landmark edit is an exact linear map of the 27-dimensional control vector:"
1714,quantitative,"d_ ROI(c) \;=\; c\,W_ ctrl, W_ ctrl \;=\; W[:27]\, /\, _ ctrl[:27],"
1720,narrative,where W is the exported Ridge weight matrix and _ ctrl is the training-set control scale.
1720,quantitative+implementation,"There is no re-fit or numerical approximation in this map: ridge\_browser.json stores the 27 11,802 operator with the control standardisation already folded into its weights."
1720,narrative,"The resulting field is tapered at the ROI rim, smoothed with the released rim-pinned display transform, scattered into the full head and re-rendered."
1728,narrative,"The dense ROI displacement is scattered back into the full head mesh by ROI index, and a collar region blends the edited ROI smoothly into the surrounding face so that the nose does not detach from its context."
1728,narrative,This full-face presentation keeps the local edit visible in its surrounding facial context rather than presenting the nasal ROI in isolation.
1735,implementation_claim,"The engine described above is the runtime face of the full deformation method of : the six semantic controls map to the same nine-landmark control vector, and the Ridge backbone expands that sparse vector into a dense ROI deformation."
1735,narrative,Normal flips and edge strain are recomputed for the displayed geometry.
1735,implementation_claim,"Separately, governs whether the requested controls are retained, scaled back or withheld, and the Ridge-relative certificate governs whether the learned refinement may replace the anchor."
1735,narrative,The visible states produced by these two mechanisms are formalised in .
1747,narrative,The instrument's most important behaviour is its willingness to say ``no''.
1747,narrative,Admission is decided by two mechanically separated mechanisms that answer different questions.
1747,quantitative+implementation,"The first is input applicability: after every edit the browser computes the control-scale statistic (c) = _k (c_k/ _k)^2, where the per-coordinate scales _k are estimated from the validation controls and then fixed."
1747,quantitative,Requests with 7.4921 pass unchanged; requests with 7.4921 < 9.3966 are scaled back; requests with > 9.3966 are withheld.
1747,narrative,"This statistic is a statement about the evaluated control range, not a calibrated out-of-distribution probability."
1747,implementation_claim,"The second mechanism is the ridge-relative fold certificate of , which governs whether the learned residual may replace the anchor at all."
1747,narrative,Neither mechanism is presented to the user as ``safety'' or ``confidence''.
1747,implementation_claim,"Instead, the interface exposes the resulting runtime state directly, as shown in ."
1764,quantitative+implementation,figures/chapter3_review_v2/fig_3_4_runtime_state_machine_final.pdf
1767,narrative,evaluated request is retained or scaled to the applicability boundary and shown immediately as a Ridge anchor.
1767,quantitative,"After a 450-ms debounce, the learned enhancement is computed while the anchor remains visible."
1767,comparative_claim+implementation,A local certificate path with retention at least 0.98 produces the normal certified state; a uniform path or lower retention is disclosed as constrained; error or timeout retains the Ridge anchor.
1767,narrative,Every subsequent slider change restarts from a new anchor preview.
1777,quantitative,"Concretely, a request in the scale-back band is multiplied by 7.4921/ , preserving its direction while placing its effective control vector on the evaluated boundary."
1777,quantitative,"A request above 9.3966 is withheld, so no edited mesh is presented."
1777,narrative,"For an admitted request, exactly one product state is active: anchor preview, computing, certified enhancement, constrained enhancement or anchor fallback."
1777,narrative,This state is recorded in the exported session alongside the requested and effective controls.
1788,narrative,"The learned residual is offered only as a certified proposal, and the platform is deliberately two-timescale about it."
1788,narrative,"The Ridge anchor answers every control movement synchronously, so the preview never waits on the learned path."
1788,quantitative+implementation,The certified RB-SR refinement is computed asynchronously---the runtime waits for a 450-ms pause in slider input and resolves the refinement in the background---and it replaces the displayed anchor only when its ridge-relative fold certificate holds for the current edit; any error or timeout leaves the anchor visible and changes the reported state.
1798,narrative,Exposing the residual this way is not a presentation choice; it fixes three properties that the method in is then obliged to satisfy.
1798,narrative,"First, the displayed layer is non-destructive: research mode can inspect Auto, Anchor or Certified, while Auto keeps the anchor until a certified result is available."
1798,narrative,"The method therefore produces a correction defined relative to the anchor, \, R_ in , so retaining the anchor never requires a second solve."
1806,narrative,"Second, the instrument deliberately exposes no global ``residual strength'' control."
1806,comparative_claim,"A single scalar would let a proposal that lowers average error still open fold-over in one sub-unit while another stays untouched, and the gate state in would then have to reject the entire edit rather than the offending region."
1806,implementation_claim,"The runtime instead demands admission that is decided per region, which is precisely the constraint that forces the method away from the global- Hybrid and towards the per-vertex admission weight g(v) of ; the spatial structure that makes this necessary is diagnosed in ."
1816,implementation_claim,"Third, the learned gate and the non-learned certificate must be reproducible from the current browser state."
1816,narrative,The gate uses the inference inputs specified in ; orientation and strain budgets supervise it during training but are not additional feed-forward inputs.
1816,implementation_claim,"Exact handles are then re-imposed, and the iterative certificate checks the resulting raw field against the Ridge fold set."
1816,implementation_claim,The interface reports the certificate result rather than presenting gate output as a probability of correctness.
1827,narrative,One honesty question must be settled explicitly: is the smooth geometry the user sees the same geometry the benchmark scores?
1827,narrative,"The answer is deliberately no, and the separation is engineered rather than incidental."
1827,implementation_claim,"For display, the browser subtracts the zero-control anchor field, tapers the edit towards the ROI boundary along graph-geodesic distance, and applies a small number of rim-pinned Laplacian smoothing rounds so that the edited nose sits seamlessly in the full-face render; the certified overlay additionally fills one-ring landmark residuals before smoothing."
1827,implementation_claim,"None of these display transforms touches the evaluation frame: the raw inference path first re-imposes the nine hard handles exactly, then runs the fold certificate, and only afterwards hands the geometry to the display pipeline."
1827,narrative,The strict scorer of operates exclusively on the pre-display geometry.
1827,quantitative+implementation,"This prevents a cosmetic smoothing pass from silently substituting for the stricter benchmark geometry---and it is itself verified: the released browser build is locked to the released assets by content hash and passes 51 automated checks against stored reference goldens, with a worst-case certified-path vertex deviation of 5.4 10^-7 model units ()."
1849,narrative,The prototype is bounded by design.
1849,narrative,A mandatory disclaimer banner states that it is a research prototype and not a medical device; that coordinates are uncalibrated FaceScape units; and that outputs are for morphology communication only.
1849,narrative,"It is technically evaluated, not clinically validated---no user study is claimed, and a formative study would require the appropriate institutional ethics decision ()."
1849,narrative,"These boundaries are surfaced in the interface, not buried in a manual, because explicit scoping is part of what makes the instrument trustworthy."
1858,narrative,The scope statement also fixes the terms in which the method is allowed to optimise.
1858,narrative,"Because the working units are uncalibrated and relative, every quantity the method minimises or budgets---the dense target of , and the orientation and edge-strain budgets that constrain g(v)---is defined in those same relative units, so no absolute metric claim about a patient's nose is derivable from the output and none is reported."
1858,narrative,"Equally, the interface does not translate an applicability breach into a confidence claim: a near-boundary request is visibly scaled to the evaluated boundary, and an outside-range request is withheld."
1858,implementation_claim,"For requests that remain applicable, the learned correction is displayed only after the separate Ridge-relative fold certificate."
1858,implementation_claim,The responsible-use boundary is therefore implemented in the runtime contract rather than added only as explanatory text.
1879,narrative,The method operates on the sparse-control task formalised in .
1879,quantitative,"Let S_ R and T_ R denote the source and target coordinates on the registered nasal region of interest (ROI), with vertex set R and | R|=3934."
1879,narrative,"Because all FaceScape identities share the same topology, the supervised dense displacement is defined vertex by vertex as"
1886,quantitative,D^*=T_ R-S_ R R^3934 3.
1890,quantitative,"The nine semantic landmark vertices form a fixed control set L=\ _1, , _9\ R."
1890,narrative,Their observed displacements are concatenated into the user-control vector
1894,quantitative,"c= R^27, p_i= D^*( _i)."
1901,narrative,This is a conditional completion problem rather than ordinary landmark interpolation.
1901,quantitative,"The output contains 3934 3=11802 coordinate values, while the controls determine only 9 3=27 of them."
1901,quantitative,"After the controls are fixed, 3925 3=11775 free coordinate values remain."
1901,narrative,"Consequently, infinitely many dense fields can satisfy the same nine landmark motions."
1901,narrative,The method must supply a prior for how motion propagates between and beyond the handles.
1901,narrative,The geometric methods in impose this prior through smoothness or local rigidity; the learned methods estimate it from registered source--target examples.
1901,narrative,"This distinction is central to the comparisons that follow: every method obeys the same handles, but it resolves the unobserved dense field differently."
1912,quantitative,Let F= R L denote the 3925 free vertices.
1912,narrative,Rhinoform models their completion as
1915,quantitative,"D=f_ ( c, _src) R^3934 3."
1919,quantitative,Here _src R^64 encodes the starting nasal shape on a PCA basis fitted only to training identities.
1919,implementation_claim,It is computed from the source mesh and is therefore available before an edit; no target-shape feature is allowed to enter the runtime condition.
1919,narrative,This source-only constraint prevents target leakage while retaining the clinically relevant fact that the same requested tip or dorsum displacement should not induce an identical full-ROI field on every face.
1919,quantitative,"Concatenating the 27 controls and 64 source coefficients gives the 91-dimensional condition shared by the ridge, CVAE and gate."
1928,narrative,"The numerical interface is identical in training and deployment, but its data provenance is not."
1928,narrative,"During training, c is extracted from a registered source--target pair and is therefore supported by an observed population example."
1928,narrative,"At run time, it is generated from the six semantic sliders and nine landmark roles in ; a user can request a combination or scale that is sparse in, or outside, the training distribution."
1928,narrative,"The predicted field is therefore an identity-conditioned morphology preview in FaceScape coordinates, not a biomechanical or surgical-outcome simulation."
1928,implementation_claim,This train--runtime gap is why later stages need an explicit out-of-distribution and geometric-risk boundary rather than relying on average test accuracy alone.
1939,narrative,"The landmark edits are hard constraints, not soft training suggestions."
1939,narrative,"Before a field is rendered or scored, the control vertices are projected back to the requested displacements:"
1945,narrative,"p_i, v= _i L,\\ D(v), v F."
1950,comparative_claim,This projection guarantees handle fidelity while preventing the reported RMSE from being artificially improved by nine trivially known vertices: the strict accuracy metric is computed only over F.
1950,narrative,"The same projected field is then checked for new normal flips and edge strain, so a method cannot trade an accurate average displacement for a locally folded or excessively stretched surface."
1957,narrative,These properties determine the architecture rather than merely describing it.
1957,narrative,"The ridge anchor supplies a low-variance population completion and a deterministic fallback for an underdetermined edit; the residual pathway represents dense structure not captured by that linear completion; the spatial gate addresses the fact that residual benefit and geometric risk are not uniform across vertices; and hard projection keeps the user's nine controls invariant through every stage. fixes the shared tensor contract so that the later ablations change only the completion mechanism, not the information available to a method or the output on which it is scored."
